date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:19	19942/19942	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:17%20GMT	http://www.sheng-fa.com.tw/index.html	C:/My%20Websites/1/www.sheng-fa.com.tw/index.html	(from )
09:54:19	23/23	---M--	200	added ('OK')	text/plain	date:Sat,%2024%20Mar%202018%2001:54:17%20GMT	http://www.sheng-fa.com.tw/robots.txt		(from )
09:54:19	318/318	---M--	200	added ('OK')	image/x-icon	etag:%22530e6dda8ecc0%22	http://www.sheng-fa.com.tw/favicon.ico?9552	C:/My%20Websites/1/www.sheng-fa.com.tw/favicon019f.ico	(from http://www.sheng-fa.com.tw/index.html)
09:54:20	23739/23739	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:42:01%20GMT	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:20	5913/5913	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:42:41%20GMT	http://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.0.0/magnific-popup.min.css	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.0.0/magnific-popup.min.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:20	14559/14559	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:39:20%20GMT	http://cdnjs.cloudflare.com/ajax/libs/Swiper/3.0.8/css/swiper.min.css	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/Swiper/3.0.8/css/swiper.min.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:21	16828/16828	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:46:48%20GMT	http://cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.0/sweetalert.min.css	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.0/sweetalert.min.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:21	5178/5178	---M--	200	added ('OK')	text/css	etag:%225479417962100%22	http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/fine-uploader-new.min.css	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/fine-uploader-new.min.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:25	11809/11809	---M--	200	added ('OK')	text/css	etag:%225538ea8805f40%22	http://www.sheng-fa.com.tw/templates/template/21/css/layout.css	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/template/21/css/layout.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:28	706357/706357	---M--	200	added ('OK')	text/css	etag:%22567fae11fdd00%22	http://www.sheng-fa.com.tw/templates/css/common.css	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/css/common.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:28	38797/38797	---M--	200	added ('OK')	text/css	etag:%22567fae11fdd00%22	http://www.sheng-fa.com.tw/templates/css/mobile.css	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/css/mobile.css	(from http://www.sheng-fa.com.tw/index.html)
09:54:30	14522/14522	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:28%20GMT	http://www.sheng-fa.com.tw/about-us.html	C:/My%20Websites/1/www.sheng-fa.com.tw/about-us.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:30	16141/16141	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:29%20GMT	http://www.sheng-fa.com.tw/product.html	C:/My%20Websites/1/www.sheng-fa.com.tw/product.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:30	13877/13877	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:29%20GMT	http://www.sheng-fa.com.tw/-.html	C:/My%20Websites/1/www.sheng-fa.com.tw/-.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:31	11814/11814	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:29%20GMT	http://www.sheng-fa.com.tw/news.html	C:/My%20Websites/1/www.sheng-fa.com.tw/news.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:31	17803/17803	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:29%20GMT	http://www.sheng-fa.com.tw/contact-us.html	C:/My%20Websites/1/www.sheng-fa.com.tw/contact-us.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:32	17144/17144	---M--	200	added ('OK')	image/png	etag:%224ade623b52500%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/system/logo.png	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/system/logo.png	(from http://www.sheng-fa.com.tw/index.html)
09:54:33	13583/13583	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:31%20GMT	http://www.sheng-fa.com.tw/xn--qevy0cz0qc37a.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--qevy0cz0qc37a.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:35	11371/11371	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe03430c0%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G01.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G01.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:35	15543/15543	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:34%20GMT	http://www.sheng-fa.com.tw/xn--6tv367g.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--6tv367g.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:37	10861/10861	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe03430c0%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G02.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G02.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:54:36%20GMT	http://www.sheng-fa.com.tw/02.html	C:/My%20Websites/1/www.sheng-fa.com.tw/02.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:54:36%20GMT	http://www.sheng-fa.com.tw/13.html	C:/My%20Websites/1/www.sheng-fa.com.tw/13.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:38	13701/13701	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:37%20GMT	http://www.sheng-fa.com.tw/xn--xgs298asy5ax8a.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--xgs298asy5ax8a.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:40	11720/11720	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe0437300%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G03.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G03.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:40	13513/13513	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:39%20GMT	http://www.sheng-fa.com.tw/xn--xgsy04ansb81t7h2bbrb.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--xgsy04ansb81t7h2bbrb.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:42	10326/10326	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe052b540%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G04.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G04.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:54:41%20GMT	http://www.sheng-fa.com.tw/06.html	C:/My%20Websites/1/www.sheng-fa.com.tw/06.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:54:41%20GMT	http://www.sheng-fa.com.tw/12.html	C:/My%20Websites/1/www.sheng-fa.com.tw/12.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:43	14770/14770	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:42%20GMT	http://www.sheng-fa.com.tw/xn--hhra237a49igpi0id0wz40nes4cxqcjrq.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--hhra237a49igpi0id0wz40nes4cxqcjrq.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:45	10192/10192	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe052b540%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G05.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G05.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:45	13005/13005	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:44%20GMT	http://www.sheng-fa.com.tw/08.html	C:/My%20Websites/1/www.sheng-fa.com.tw/08.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:47	11434/11434	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe061f780%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G06.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G06.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:54:46%20GMT	http://www.sheng-fa.com.tw/11.html	C:/My%20Websites/1/www.sheng-fa.com.tw/11.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:48	14742/14742	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:46%20GMT	http://www.sheng-fa.com.tw/05.html	C:/My%20Websites/1/www.sheng-fa.com.tw/05.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:50	11504/11504	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe061f780%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G07.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G07.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:50	13081/13081	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:49%20GMT	http://www.sheng-fa.com.tw/04.html	C:/My%20Websites/1/www.sheng-fa.com.tw/04.html	(from http://www.sheng-fa.com.tw/index.html)
